2026-07-07 14:16:13,573 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:16:13,574 | WARNING | aiogram.dispatcher | Sleep for 5.139517 seconds and try again... (tryings = 17, bot id = 8838659979)
2026-07-07 14:16:18,841 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:16:18,847 | WARNING | aiogram.dispatcher | Sleep for 4.967103 seconds and try again... (tryings = 18, bot id = 8838659979)
2026-07-07 14:16:23,925 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:16:23,925 | WARNING | aiogram.dispatcher | Sleep for 4.840969 seconds and try again... (tryings = 19, bot id = 8838659979)
2026-07-07 14:16:28,871 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:16:28,871 | WARNING | aiogram.dispatcher | Sleep for 4.855766 seconds and try again... (tryings = 20, bot id = 8838659979)
2026-07-07 14:16:31,275 | INFO | aiogram.dispatcher | Polling stopped
2026-07-07 14:16:31,541 | INFO | __main__ | 🔒 Bot sessiyasi yopildi.
2026-07-07 14:16:31,552 | INFO | aiogram.dispatcher | Polling stopped for bot @teeest_anime_bot id=8838659979 - 'test animebot'
2026-07-07 14:16:39,273 | INFO | __main__ | 🚀 Bot ishga tushirilmoqda...
2026-07-07 14:16:39,277 | INFO | bot.database.db | ✅ Jadvallar muvaffaqiyatli yaratildi.
2026-07-07 14:16:39,277 | INFO | __main__ | ✅ Ma'lumotlar bazasi tayyor.
2026-07-07 14:16:39,988 | INFO | __main__ | ✅ Bot muvaffaqiyatli ishga tushdi! Polling boshlandi...
2026-07-07 14:16:39,988 | INFO | aiogram.dispatcher | Start polling
2026-07-07 14:16:40,433 | INFO | aiogram.dispatcher | Run polling for bot @teeest_anime_bot id=8838659979 - 'test animebot'
2026-07-07 14:16:40,568 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:16:40,568 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8838659979)
2026-07-07 14:16:44,674 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:16:44,675 | WARNING | aiogram.dispatcher | Sleep for 1.250812 seconds and try again... (tryings = 1, bot id = 8838659979)
2026-07-07 14:16:46,033 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:16:46,038 | WARNING | aiogram.dispatcher | Sleep for 1.651709 seconds and try again... (tryings = 2, bot id = 8838659979)
2026-07-07 14:16:50,802 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:16:50,803 | WARNING | aiogram.dispatcher | Sleep for 2.210940 seconds and try again... (tryings = 3, bot id = 8838659979)
2026-07-07 14:16:53,119 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:16:53,120 | WARNING | aiogram.dispatcher | Sleep for 2.948912 seconds and try again... (tryings = 4, bot id = 8838659979)
2026-07-07 14:16:56,172 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:16:56,172 | WARNING | aiogram.dispatcher | Sleep for 3.767422 seconds and try again... (tryings = 5, bot id = 8838659979)
2026-07-07 14:17:00,054 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:17:00,055 | WARNING | aiogram.dispatcher | Sleep for 4.892675 seconds and try again... (tryings = 6, bot id = 8838659979)
2026-07-07 14:17:05,059 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:17:05,059 | WARNING | aiogram.dispatcher | Sleep for 4.961071 seconds and try again... (tryings = 7, bot id = 8838659979)
2026-07-07 14:17:10,131 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:17:10,190 | WARNING | aiogram.dispatcher | Sleep for 4.853707 seconds and try again... (tryings = 8, bot id = 8838659979)
2026-07-07 14:17:15,165 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:17:15,192 | WARNING | aiogram.dispatcher | Sleep for 4.999355 seconds and try again... (tryings = 9, bot id = 8838659979)
